flight_id,altitude_ft,battery_drain_%,zone,timestamp
IND-FL-0000,136,62.07,Green,2026-02-14 19:07
IND-FL-0001,56,77.47,Green,2026-02-12 14:53
IND-FL-0002,231,15.45,Green,2026-02-11 01:44
IND-FL-0003,246,54.86,Yellow,2026-02-13 18:51
IND-FL-0004,414,73.2,Green,2026-02-16 22:38
IND-FL-0005,349,15.45,Green,2026-02-12 02:44
IND-FL-0006,251,61.79,Yellow,2026-02-17 14:31
IND-FL-0007,11,64.49,Yellow,2026-02-17 09:50
IND-FL-0008,184,72.48,Green,2026-02-15 15:39
IND-FL-0009,73,51.33,Green,2026-02-16 13:15
IND-FL-0010,439,64.72,Yellow,2026-02-11 18:32
IND-FL-0011,22,18.34,Red,2026-02-16 18:51
IND-FL-0012,208,42.95,Yellow,2026-02-17 02:02
IND-FL-0013,286,34.67,Yellow,2026-02-17 16:39
IND-FL-0014,376,20.63,Green,2026-02-13 19:48
IND-FL-0015,445,42.02,Green,2026-02-15 16:19
IND-FL-0016,200,19.88,Red,2026-02-16 00:54
IND-FL-0017,404,75.93,Green,2026-02-15 21:23
IND-FL-0018,80,15.37,Red,2026-02-14 16:00
IND-FL-0019,157,13.58,Green,2026-02-15 19:19
IND-FL-0020,142,22.72,Yellow,2026-02-10 23:28
IND-FL-0021,384,68.28,Green,2026-02-12 09:02
IND-FL-0022,185,45.62,Green,2026-02-16 01:59
IND-FL-0023,31,23.52,Green,2026-02-12 05:40
IND-FL-0024,256,54.77,Yellow,2026-02-17 08:31
IND-FL-0025,116,14.29,Yellow,2026-02-15 15:55
IND-FL-0026,319,70.69,Red,2026-02-17 06:17
IND-FL-0027,193,57.44,Red,2026-02-14 14:54
IND-FL-0028,160,40.69,Yellow,2026-02-13 05:30
IND-FL-0029,94,26.02,Green,2026-02-15 19:13
IND-FL-0030,246,47.48,Green,2026-02-16 11:21
IND-FL-0031,164,72.23,Red,2026-02-14 01:22
IND-FL-0032,99,13.47,Yellow,2026-02-15 06:57
IND-FL-0033,444,40.32,Green,2026-02-17 14:50
IND-FL-0034,207,54.79,Green,2026-02-17 01:06
IND-FL-0035,233,37.09,Green,2026-02-15 17:42
IND-FL-0036,15,51.31,Green,2026-02-16 13:11
IND-FL-0037,193,75.87,Red,2026-02-14 11:02
IND-FL-0038,132,51.39,Yellow,2026-02-13 01:54
IND-FL-0039,168,21.71,Yellow,2026-02-16 04:46
IND-FL-0040,260,23.79,Green,2026-02-12 14:13
IND-FL-0041,405,15.56,Yellow,2026-02-13 10:51
IND-FL-0042,244,45.7,Red,2026-02-17 14:00
IND-FL-0043,91,19.42,Green,2026-02-12 00:03
IND-FL-0044,334,65.35,Red,2026-02-11 13:19
IND-FL-0045,258,67.97,Green,2026-02-11 22:42
IND-FL-0046,362,74.5,Green,2026-02-15 02:04
IND-FL-0047,291,79.35,Green,2026-02-11 04:57
IND-FL-0048,75,43.89,Red,2026-02-15 15:06
IND-FL-0049,157,36.86,Green,2026-02-17 14:00
IND-FL-0050,406,69.37,Yellow,2026-02-14 10:10
IND-FL-0051,328,15.62,Green,2026-02-17 15:25
IND-FL-0052,422,27.51,Yellow,2026-02-12 09:40
IND-FL-0053,68,21.81,Green,2026-02-16 22:10
IND-FL-0054,183,19.94,Yellow,2026-02-16 23:46
