scn_id,investment,daily_revenue,break_even_days
ROI-0,535311,7635,379
ROI-1,528582,11221,378
ROI-2,1413252,10663,244
ROI-3,983629,5846,179
ROI-4,710926,9155,398
ROI-5,1471532,8638,312
ROI-6,881035,11357,304
ROI-7,742013,11230,200
ROI-8,660541,6623,152
ROI-9,1254386,9695,172
ROI-10,1348468,8761,301
ROI-11,1001467,8989,192
ROI-12,646034,8473,258
ROI-13,698727,11302,198
ROI-14,1489571,11161,210
ROI-15,644986,6899,333
ROI-16,1466585,8126,283
ROI-17,768223,7727,204
ROI-18,1286944,9204,379
ROI-19,907734,6336,394
ROI-20,1333721,8363,168
ROI-21,1009674,9809,323
ROI-22,1273409,11843,211
ROI-23,999554,7122,157
ROI-24,1401850,6603,355
ROI-25,597642,8216,261
ROI-26,1267306,9255,180
ROI-27,834505,8506,304
ROI-28,738103,7871,207
ROI-29,1162166,5713,239
ROI-30,1228104,6443,309
ROI-31,1331599,8595,354
ROI-32,734844,7913,157
ROI-33,1176487,6035,258
ROI-34,1426583,7987,286
ROI-35,970067,7425,173
ROI-36,881449,8571,318
ROI-37,799741,5324,317
ROI-38,1115079,5584,334
ROI-39,916040,6666,344
ROI-40,1109483,9296,398
ROI-41,1121585,5285,328
ROI-42,609270,9695,225
ROI-43,533812,5552,283
ROI-44,624807,8519,312
ROI-45,957770,9735,304
ROI-46,553402,7415,162
ROI-47,862154,11990,205
ROI-48,1369884,9997,152
ROI-49,973371,10168,306
ROI-50,756670,9532,367
ROI-51,929270,11794,250
ROI-52,886697,7070,225
ROI-53,522906,8109,364
ROI-54,917085,10598,266
ROI-55,1138206,6954,336
ROI-56,1348627,6038,346
ROI-57,674475,6568,229
ROI-58,932349,11931,307
ROI-59,1322801,9740,170
ROI-60,777007,5047,277
ROI-61,1115595,8904,400
ROI-62,779027,11189,191
ROI-63,1443869,10161,170
ROI-64,750898,7904,171
ROI-65,935885,6236,217
ROI-66,1351384,10467,230
ROI-67,991165,9700,239
ROI-68,669615,11880,325
ROI-69,1268405,9260,179
ROI-70,1167820,11996,173
ROI-71,627433,6044,312
ROI-72,538781,6643,284
ROI-73,896643,9107,229
ROI-74,782435,11722,277
ROI-75,624575,6081,316
ROI-76,657866,5660,177
ROI-77,1226072,10763,364
ROI-78,530681,5287,237
ROI-79,1202673,7940,345
ROI-80,1144912,5097,179
ROI-81,1259752,8889,316
ROI-82,1493357,10425,243
ROI-83,688075,5940,203
ROI-84,1396251,6838,348
ROI-85,511580,8472,396
ROI-86,620679,5706,199
ROI-87,984051,10742,280
ROI-88,1008388,6266,188
ROI-89,1335063,7090,253
ROI-90,1124326,10261,371
ROI-91,828408,7420,217
ROI-92,1296075,10040,398
ROI-93,687351,11727,246
ROI-94,1164225,8380,165
ROI-95,515667,5434,355
ROI-96,554573,6934,169
ROI-97,1171091,8161,185
ROI-98,795686,5282,196
ROI-99,788325,8795,167
